date,last,open,high,low,%change,volume,is_trading_day,sentiment_score,impact_score,has_news,medium_term_score,prominence,topic_regulatory_news,topic_ai_sector,topic_corporate_changes,topic_financial_performance,topic_investor_sentiment,topic_competition,topic_market_conditions,timeliness,confidence,topic_technology,short_term_score,relevance_score,direct_impact,target_mentioned,sentiment_label,day_of_week,day_of_month,month,year
2022-07-12,-1.965304015924408,-1.9456853640812573,-1.9945877557698921,-1.8951961993834805,-0.08802416738318204,-0.5531812115524805,1,0.6164383561643836,0.45000000000000007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3666666666666667,0.5454545454545454,0.0
2022-07-13,-1.9731000947364605,-1.9689130239863435,-1.9320168891472091,-1.9182278303866866,-0.08802416738318204,0.31771243547552835,1,0.6164383561643836,0.45000000000000007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.5454545454545454,0.0
2022-07-14,-1.9265070590126636,-1.9689130239863435,-1.9788988954072724,-1.9028129592428085,0.4424971038820066,-1.2914737086071648,1,0.4696673189823875,0.2785714285714286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.43333333333333335,0.5454545454545454,0.0
2022-07-15,-1.9343031378247162,-1.9456853640812573,-1.924264746379797,-1.8644571328083355,-0.08802416738318204,-0.8808977051253173,1,0.6164383561643836,0.4750000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4666666666666667,0.5454545454545454,0.0
2022-07-18,-1.9575996556866146,-1.914684668381162,-1.9711467526398605,-1.8721645683802746,-0.23418819109910138,-1.196528899287325,1,0.6164383561643836,0.6000000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666666666666667,0.5454545454545454,0.0
2022-07-19,-2.0118970516482046,-1.9534583998762665,-2.0336253318486457,-1.9412594613898926,-0.5373432032506378,-0.5522605503312693,1,0.6164383561643836,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6,0.5454545454545454,0.0
2022-07-20,-1.918710980200611,-1.9843676480964205,-2.002339898537304,-1.9028129592428085,0.8972296221093112,-0.9614490784515731,1,0.6164383561643836,0.45000000000000007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6333333333333333,0.5454545454545454,0.0
2022-07-21,-1.918710980200611,-1.914684668381162,-1.9711467526398605,-1.8644571328083355,-0.01223541434529795,-0.00646405086645403,1,0.6164383561643836,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.6666666666666666,0.5454545454545454,0.0
2022-07-22,-1.918710980200611,-1.9456853640812573,-1.9867433255885822,-1.8721645683802746,-0.01223541434529795,-0.25283818048636064,1,0.6164383561643836,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.5454545454545454,0.0
2022-07-25,-1.8877101021009193,-1.922457704176171,-1.9477057495098287,-1.8721645683802746,0.2855061154463896,-0.3176734777547571,1,0.6164383561643836,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5454545454545454,0.0
