date,last,open,high,low,%change,volume,is_trading_day,sentiment_score,impact_score,has_news,medium_term_score,prominence,topic_regulatory_news,topic_ai_sector,topic_corporate_changes,topic_financial_performance,topic_investor_sentiment,topic_competition,topic_market_conditions,timeliness,confidence,topic_technology,short_term_score,relevance_score,direct_impact,target_mentioned,sentiment_label,day_of_week,day_of_month,month,year
2020-08-14,-1.4941620746974464,-1.4952759556721575,-1.5413889197017556,-1.5012780572999558,-0.10381248009366151,2.0361067375212185,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.43333333333333335,0.6363636363636364,0.0
2020-08-17,-1.5037221538062067,-1.456007613793629,-1.5066894040473287,-1.4721872621806502,-0.19793236972290779,0.9178022686174476,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.6363636363636364,0.0
2020-08-18,-1.4734485699617987,-1.5106001866491443,-1.5095545016701712,-1.4705888668444242,0.405542216723436,0.5792241062216744,1,0.3495934959349594,0.4927536231884059,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5666666666666667,0.6363636363636364,0.0
2020-08-19,-1.4686685304074187,-1.4585616522897935,-1.4726265767535338,-1.4194402160852058,0.017989730014774854,1.549263909611144,1,0.451219512195122,0.45652173913043487,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.6363636363636364,0.0
2020-08-20,-1.3867705193757045,-1.4659045129662664,-1.4334702425746852,-1.4156040672782644,1.1751107260449203,1.0964490377207452,1,1.0,1.0000000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.6333333333333333,0.6363636363636364,0.0
2020-08-21,-1.1927009134678688,-1.3538460739470515,-1.2271832137300196,-1.3030770356079835,2.7972947061254594,6.2283509191452655,1,0.451219512195122,0.45652173913043487,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.6363636363636364,0.0
2020-08-24,-1.1452191872276924,-1.0524695313996486,-1.1027106392265256,-1.1531475530700241,0.6103913882694426,6.420122756999009,1,0.5121951219512196,0.6086956521739131,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7666666666666667,0.6363636363636364,0.0
2020-08-25,-1.178042125501103,-1.18017145620787,-1.2173145441402284,-1.1815989900548394,-0.5079743590898367,3.1524667517952936,1,0.451219512195122,0.5652173913043479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.8,0.6363636363636364,0.0
2020-08-26,-1.1241870131884197,-1.1329217440288277,-1.1596942475030616,-1.1167041394040809,0.6934383497070129,1.9741272461996664,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8333333333333334,0.6363636363636364,0.0
2020-08-27,-1.1723060780358467,-1.1022732820748546,-1.144095382667585,-1.1566640228097205,-0.7128235306358432,1.7925637951518254,1,0.451219512195122,0.7826086956521741,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.8666666666666667,0.6363636363636364,0.0
2020-08-28,-1.1786794641083538,-1.1383490758331771,-1.1772031774204328,-1.1326880927663368,-0.14256772876452764,2.572290101659823,1,0.6341463414634148,0.8550724637681161,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.6363636363636364,0.0
2020-08-31,-1.0438823486748328,-1.0882260703459503,-1.032038231196409,-1.08729366521753,1.8228770252579682,3.4976074485662902,1,0.451219512195122,0.5652173913043479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.6363636363636364,0.0
2020-09-01,-0.8800863266114044,-0.9228520777193032,-0.9110674426763886,-0.9424790477554924,2.149528406912411,1.7177022919085387,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.7272727272727273,0.0
2020-09-02,-0.9686763930192506,-0.7686520035133749,-0.8098339933359516,-1.0553257584930185,-1.2000323710695888,2.8758680807210726,1,0.3140243902439025,0.34782608695652184,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.03333333333333333,0.7272727272727273,0.0
2020-09-03,-1.3039165004331148,-1.1096161427513276,-1.1008005741446305,-1.263117152202344,-4.4886920439973705,4.272958732157473,1,0.19207317073170738,0.15760869565217395,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.06666666666666668,0.7272727272727273,0.0
2020-09-04,-1.301367146004112,-1.3279864341733871,-1.264429482826973,-1.5703287358249007,-0.015229054560253244,6.096128004325954,1,0.4664634146341464,0.5652173913043479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.7272727272727273,0.0
2020-09-08,-1.5607639591551437,-1.5233703791299662,-1.4143695917557348,-1.5131061827880246,-3.7800246397301045,3.635420670445977,1,0.451219512195122,0.673913043478261,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.23333333333333334,0.7272727272727273,0.0
2020-09-09,-1.417362772523738,-1.4176970363511625,-1.409594429050997,-1.4306289834387846,2.1550648710082494,2.3124623517667278,1,0.6341463414634148,0.7101449275362319,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.26666666666666666,0.7272727272727273,0.0
