date,last,open,high,low,%change,volume,is_trading_day,sentiment_score,impact_score,has_news,medium_term_score,prominence,topic_regulatory_news,topic_ai_sector,topic_corporate_changes,topic_financial_performance,topic_investor_sentiment,topic_competition,topic_market_conditions,timeliness,confidence,topic_technology,short_term_score,relevance_score,direct_impact,target_mentioned,sentiment_label,day_of_week,day_of_month,month,year
2020-09-09,-0.3955674756183782,-0.3805091974305819,-0.3896171508232766,-0.38509931161458605,0.3016281406682701,0.013455547100081998,1,0.3148148148148148,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.26666666666666666,0.7272727272727273,0.0
2020-09-10,-0.4343163327652685,-0.3822969570301252,-0.38498598568849207,-0.4151944567387956,-0.7908088513300038,0.13142421305875832,1,0.625,0.675,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3,0.7272727272727273,0.0
2020-09-11,-0.44450253322306527,-0.41977114863593695,-0.4379038578903677,-0.4457772546775174,-0.2409488986908726,-0.23683776003975507,1,0.3148148148148148,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.7272727272727273,0.0
2020-09-14,-0.44766851444643485,-0.41365151000673106,-0.4021485388350465,-0.42445986021453586,-0.10257354637109124,0.08648376888402448,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43333333333333335,0.7272727272727273,0.0
2020-09-15,-0.40451481385833504,-0.41557678957546984,-0.4165868771964334,-0.399380572611028,0.8187149835474531,-0.2636771919774433,1,0.5,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4666666666666667,0.7272727272727273,0.0
2020-09-16,-0.4657696679626552,-0.43881766436953296,-0.4307527940793034,-0.45169875313945645,-1.2314251047693077,0.40606026079324287,1,0.5925925925925926,0.6333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.7272727272727273,0.0
2020-09-17,-0.525648008491597,-0.5007704104921691,-0.5052600684536298,-0.5325097909729813,-1.2423494746892902,0.5352640377956027,1,0.3611111111111111,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5333333333333333,0.7272727272727273,0.0
2020-09-18,-0.5414090889296748,-0.4999452906769952,-0.5209243034683421,-0.5334850966020066,-0.36839988109067123,0.33864959453114213,1,0.33333333333333337,0.33999999999999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5666666666666667,0.7272727272727273,0.0
2020-09-21,-0.5715547362304523,-0.5746186339502276,-0.5839217703753365,-0.5747265917722193,-0.6706407822101937,0.1251824847011564,1,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.7272727272727273,0.0
2020-09-22,-0.5261297882429792,-0.5349441228372854,-0.5473491868844651,-0.5462337344671231,0.9279586827472805,0.47347092705534366,1,0.2222222222222222,0.19999999999999996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.7,0.7272727272727273,0.0
2020-09-23,-0.5655669021775581,-0.5215359258407106,-0.5291650531934731,-0.5467213872816357,-0.8599965274898944,-0.19127314302926104,1,0.5,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7333333333333333,0.7272727272727273,0.0
2020-09-24,-0.5620567925603444,-0.5817696723484008,-0.5683256407302534,-0.5643465532918785,0.03216034930869589,-0.16817874810613392,1,0.3148148148148148,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.7666666666666667,0.7272727272727273,0.0
2020-09-25,-0.525648008491597,-0.561829276815033,-0.5444206559904101,-0.5574497492009138,0.7313200241875912,-0.2717914388423258,1,0.5,0.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.7272727272727273,0.0
